,balanced512_step24000,easysk512_step24000,hardsk512_24000,old512_step24000,gold formula
334,"( ( ( x_2 <= 0.233 or x_2 <= 0.0332 ) and ( x_2 <= -0.0332 or x_2 <= -0.3232 ) ) until[23,33] ( ( x_2 <= -0.333 or x_2 <= -0.2232 ) or ( x_2 <= -0.0332 or x_2 <= -0.3262 ) ) )","( ( ( ( x_2 <= -0.1555 and x_2 <= -0.0005 ) or ( x_2 <= -0.0055 and x_2 <= -0.0005 ) ) until[20,32] ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) ) or ( ( ( x_2 <= -0.1005 until[22,30] x_2 <= -0.0005 ) or ( x_2 <= -0.1525 until[22,30] x_2 <= -0.0525 ) ) or ( ( x_0 <= -0.1505 until[22,30] x_2 <= -0.1502 ) or ( x_2 <= -0.1509 until[22,30] x_2 <= -0.1622 ) ) ) )","( ( ( ( x_2 <= -0.0397 or x_2 <= -0.0397 ) or ( x_0 <= -0.0397 and x_0 <= -0.0397 ) ) until[10,25] ( ( x_0 <= -0.0397 or x_0 <= -0.0397 ) or ( x_0 <= -0.0397 and x_0 <= -0.0397 ) ) ) or ( ( ( x_0 <= -0.0997 and x_0 <= -0.0997 ) until[10,25] ( x_0 <= -0.0997 and x_0 <= -0.0997 ) ) until[10,22] ( ( x_0 <= -0.0097 and x_0 <= -0.0099 ) or ( x_0 <= -0.0997 and x_0 <= -0.0099 ) ) ) )","eventually[19,21] ( eventually[16,20] ( x_2 <= -0.1222 ) )","eventually[18,20] ( eventually[18,20] ( x_2 <= -0.1393 ) )"
335,not ( ( ( x_2 <= -0.333 or x_2 <= -0.333 ) or ( x_2 <= -0.363 or x_2 <= -0.363 ) ) ),"( ( ( x_2 >= -0.5155 or x_2 >= -0.4055 ) or ( x_2 >= -0.2055 and x_2 >= -0.2005 ) ) or ( ( x_2 >= -0.0005 and x_2 >= -0.2005 ) until[1,20] ( x_0 <= -0.0005 or x_2 >= -0.2005 ) ) )",( ( ( x_2 >= -0.5661 or x_2 >= -0.566 ) or ( x_2 >= -0.5697 and x_2 >= -0.5697 ) ) or ( ( x_2 >= -0.5697 and x_2 >= -0.0697 ) and ( x_0 >= -0.5697 and x_2 >= -0.0697 ) ) ),( x_2 >= -0.2222 and x_0 <= 1.0222 ),"not ( ( ( x_0 >= 2.1248 or x_2 <= -0.306 ) or ( x_2 >= 1.1445 and not ( always[2,5] ( not ( always ( always[9,18] ( x_0 >= 2.0562 ) ) ) ) ) ) ) )"
336,"( ( ( ( x_0 >= -0.333 or x_0 >= -0.333 ) or ( x_0 >= -0.3332 or x_0 >= -0.3332 ) ) or ( ( x_0 >= -0.3332 or x_0 >= -0.3632 ) or ( x_1 >= -0.3332 until[2,inf] x_0 >= -0.3332 ) ) ) or ( ( ( x_1 >= -0.3332 or x_0 >= -0.3632 ) or ( x_1 >= -0.3632 until[2,20] x_1 >= -0.3332 ) ) or ( ( x_1 >= -0.3632 until[2,20] x_0 >= -0.3632 ) or ( x_1 >= -0.3632 until[2,20] x_1 >= -0.3632 ) ) ) )",( ( x_0 >= -0.5005 or x_0 >= -0.5055 ) or ( x_1 >= -0.0055 or x_1 >= -0.0005 ) ),"( ( ( ( x_0 >= -0.0367 or x_0 >= -0.0367 ) or ( x_0 >= -0.0667 or x_0 >= -0.0367 ) ) or ( ( x_0 >= -0.0667 or x_0 >= -0.0367 ) or ( x_0 >= -0.0667 and x_0 >= -0.0667 ) ) ) or ( ( ( x_0 >= -0.0667 or x_0 >= -0.0667 ) or ( x_0 >= -0.0667 until[11,29] x_0 >= -0.0397 ) ) until[10,22] ( ( x_0 >= -0.0397 or x_0 >= -0.0397 ) or ( x_0 >= -0.069 and x_2 >= -0.009 ) ) ) )","( x_0 >= -0.4299 or ( x_1 >= -0.2929 until[19,21] x_0 >= 0.2925 ) )","( x_0 >= -1.3269 and ( ( not ( x_0 >= 2.5517 ) until x_0 >= 1.7933 ) or not ( ( x_0 <= 0.5249 until[9,20] ( x_1 <= 0.6149 and eventually[6,12] ( eventually[17,21] ( x_0 >= -0.4565 ) ) ) ) ) ) )"
337,"( ( ( x_2 >= -0.533 or x_2 >= -0.533 ) or ( x_2 >= -0.533 and x_2 >= -0.563 ) ) until[13,23] ( ( x_2 >= -0.533 or x_2 >= -0.636 ) or ( x_2 >= -0.6632 or x_2 >= -0.6632 ) ) )","( ( ( ( x_2 <= -0.5155 and x_2 <= -0.5055 ) or ( x_0 <= -0.0055 and x_2 <= -0.0005 ) ) until[1,20] ( ( x_0 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.0555 or x_2 <= -0.0555 ) ) ) or ( ( ( x_0 <= -0.0005 until[20,29] x_2 <= -0.0005 ) or ( x_0 <= -0.0555 until[22,30] x_2 <= -0.5505 ) ) or ( ( x_0 <= -0.1505 until[22,30] x_2 <= -0.5505 ) or ( x_0 <= -0.2505 or x_2 <= -0.0505 ) ) ) )","( ( ( ( x_2 >= -0.5661 or x_2 >= -0.5667 ) or ( x_0 >= -0.0667 and x_2 >= -0.0697 ) ) or ( ( x_0 >= -0.0967 and x_0 >= -0.0697 ) until[10,29] ( x_0 >= -0.0997 or x_2 >= -0.0697 ) ) ) until[1,19] not ( ( ( x_2 <= -0.6697 and x_2 <= -0.6697 ) and ( x_2 <= -0.669 and x_2 <= -0.6697 ) ) ) )","eventually[16,20] ( ( x_2 >= -0.5222 until[16,19] x_2 >= -0.6222 ) )","( not ( ( eventually[15,inf] ( x_2 <= -0.6113 ) until[19,21] ( not ( x_0 <= 0.3624 ) or x_1 <= -1.4865 ) ) ) until[13,17] x_2 >= -0.5987 )"
338,( ( ( x_2 <= -0.433 or x_2 <= -0.333 ) or ( x_2 <= -0.363 and x_2 <= -0.363 ) ) and ( ( x_2 <= -0.433 or x_1 <= -0.463 ) or ( x_2 <= -0.363 or x_2 >= -0.363 ) ) ),"( ( ( ( x_2 <= -0.5055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) ) or ( ( ( x_2 <= -0.0005 until[22,30] x_2 <= -0.0005 ) or ( x_2 <= -0.0005 until[20,29] x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.2005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0505 until[22,30] x_2 <= -0.0525 ) ) ) )","( ( ( ( x_2 <= -0.0337 or x_2 <= -0.0397 ) or ( x_2 <= -0.0397 or x_2 <= -0.0397 ) ) or ( ( x_2 <= -0.0397 or x_2 <= -0.0397 ) or ( x_0 <= -0.0397 and x_2 <= -0.0397 ) ) ) or ( ( ( x_0 <= -0.0997 or x_2 <= -0.0397 ) or ( x_0 <= -0.0397 and x_0 <= -0.0397 ) ) until[10,22] ( ( x_0 <= -0.039 or x_2 <= -0.039 ) or ( x_0 <= -0.099 and x_0 <= -0.039 ) ) ) )",( x_2 <= -0.4299 or x_1 <= -0.6299 ),"( ( x_1 <= -0.3113 until[10,20] always[9,19] ( not ( always[9,21] ( x_0 <= 0.7068 ) ) ) ) or x_2 <= -0.5072 )"
339,"( ( ( x_2 >= -0.333 or x_2 >= -0.333 ) and ( x_2 >= -0.333 or x_2 >= -0.363 ) ) until[13,23] ( ( x_2 >= -0.333 or x_2 >= -0.3632 ) or ( x_2 >= -0.363 or x_2 >= -0.3632 ) ) )","( ( ( ( x_2 >= -0.1555 and x_2 <= -0.0055 ) or ( x_2 <= -0.0055 and x_2 <= -0.0005 ) ) until[1,20] ( ( x_0 <= -0.1555 or x_2 <= -0.0005 ) or ( x_0 <= -0.1555 or x_2 <= -0.1505 ) ) ) or ( ( ( x_0 <= -0.1505 until[12,25] x_2 <= -0.0505 ) or ( x_0 <= -0.1555 until[12,20] x_2 <= -0.0555 ) ) or ( ( x_0 <= -0.1505 until[12,20] x_2 <= -0.0505 ) or ( x_0 <= -0.1555 or x_2 <= -0.1505 ) ) ) )","( ( ( ( x_2 >= -0.0661 or x_2 >= -0.0667 ) or ( x_0 >= -0.0967 and x_2 >= -0.0667 ) ) or ( ( x_0 >= -0.0967 and x_0 >= -0.0967 ) and ( x_0 >= -0.0967 and x_0 >= -0.0967 ) ) ) until[1,19] ( ( ( x_0 >= -0.0967 and x_0 >= -0.0967 ) or ( x_0 >= -0.0967 and x_0 >= -0.0099 ) ) or ( ( x_0 >= -0.0997 and x_0 >= -0.0099 ) and ( x_0 >= -0.0997 and x_0 >= -0.0099 ) ) ) )","eventually[19,21] ( x_2 >= -0.3222 )","eventually[11,17] ( always[8,16] ( x_2 >= -0.3218 ) )"
340,not ( not ( not ( x_2 <= -0.222 ) ) ),not ( ( ( ( x_2 >= -0.4155 and x_2 >= -0.2005 ) or ( x_2 >= -0.2005 or x_2 >= -0.2005 ) ) or ( ( x_2 <= -0.2005 or x_2 >= -0.2005 ) or ( x_0 <= -0.2225 or x_2 <= -0.2205 ) ) ) ),not ( not ( not ( x_2 >= -0.3391 ) ) ),"eventually[12,16] ( x_2 <= -0.3222 )","eventually[13,19] ( x_2 <= -0.3169 )"
341,not ( ( ( x_2 <= -0.533 or x_2 <= -0.633 ) and ( x_2 <= -0.636 or x_2 <= -0.663 ) ) ),"( ( ( x_2 >= -0.5155 or x_2 >= -0.5055 ) or ( x_2 >= -0.5055 and x_2 >= -0.5005 ) ) or ( ( x_0 <= -0.5005 until[10,22] x_2 >= -0.5005 ) until[10,22] ( x_2 >= -0.5555 or x_2 >= -0.5555 ) ) )",not ( ( ( x_2 <= -0.666 or x_2 <= -0.6697 ) and ( x_2 <= -0.6697 and x_2 <= -0.7697 ) ) ),"eventually[1,13] ( x_2 >= -0.6222 )","always[10,18] ( x_2 >= -0.6205 )"
342,"( ( ( ( x_2 <= -0.233 or x_0 >= -0.2232 ) or ( x_0 >= -0.2332 or x_0 >= -0.3332 ) ) and ( ( x_0 >= -0.3632 or x_2 <= -0.2632 ) or ( x_0 >= -0.3632 or x_2 <= -0.3632 ) ) ) until[2,inf] ( ( ( x_2 <= -0.2632 or x_2 <= -0.2632 ) or ( x_0 >= -0.3632 or x_1 >= -0.2632 ) ) or ( ( x_2 >= -0.2632 or x_0 >= -0.3632 ) and ( x_1 >= -0.266 or x_2 >= -0.2632 ) ) ) )","( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.2005 or x_2 <= -0.0005 ) ) ) until[25,32] ( ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.2005 or x_2 <= -0.0005 ) or ( x_0 <= -0.2205 or x_2 <= -0.0505 ) ) ) )","( ( ( ( x_2 <= -0.0337 or x_2 <= -0.0367 ) or ( x_2 <= -0.0367 or x_0 <= -0.0397 ) ) until[10,22] ( ( x_0 <= -0.0397 or x_0 <= -0.0397 ) or ( x_0 <= -0.0997 or x_2 <= -0.0397 ) ) ) until[10,22] ( ( ( x_0 <= -0.0997 or x_2 <= -0.0397 ) or ( x_0 <= -0.0997 or x_2 <= -0.0997 ) ) or ( ( x_0 <= -0.0997 and x_0 <= -0.0997 ) or ( x_0 <= -0.099 and x_0 <= -0.0997 ) ) ) )","( ( x_2 <= -0.2299 or x_0 <= -0.2229 ) until[19,21] ( x_2 <= -0.2229 or x_2 <= -0.2225 ) )","( ( x_2 <= 0.7094 until[12,17] ( not ( ( x_2 <= -2.0314 until eventually[9,inf] ( eventually[5,13] ( eventually[13,inf] ( always[5,16] ( x_0 <= 0.726 ) ) ) ) ) ) until[4,inf] ( x_0 >= -0.9268 until x_2 <= -0.1258 ) ) ) and always ( x_2 <= 0.5329 ) )"
343,( ( ( x_2 <= -0.533 or x_0 <= -0.533 ) and ( x_0 <= -0.563 or x_0 <= -0.663 ) ) or ( ( x_2 <= -0.663 and x_0 <= -0.666 ) and ( x_1 <= -0.662 and x_2 <= -0.662 ) ) ),"( ( ( ( x_2 <= -0.5055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) or ( x_0 <= -0.0005 or x_2 <= -0.0005 ) ) ) until[1,10] ( ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.0005 or x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.2005 or x_2 <= -0.0005 ) or ( x_0 <= -0.0525 or x_2 <= -0.0505 ) ) ) )","( ( ( ( x_2 <= -0.0337 or x_2 <= -0.039 ) or ( x_2 <= -0.0397 or x_2 <= -0.0397 ) ) or ( ( x_0 <= -0.6697 or x_0 <= -0.0397 ) or ( x_0 <= -0.0397 and x_0 <= -0.0397 ) ) ) until[1,19] ( ( ( x_0 <= -0.0397 or x_0 <= -0.0397 ) or ( x_0 <= -0.0397 or x_0 <= -0.039 ) ) or ( ( x_0 <= -0.039 or x_0 <= -0.039 ) or ( x_0 <= -0.039 and x_0 <= -0.039 ) ) ) )",( x_2 <= -0.6929 or x_0 <= -0.6929 ),( x_0 <= 0.8293 and ( x_2 <= -0.622 or x_1 <= -1.271 ) )
344,"( ( ( x_2 <= 0.333 or x_2 <= 0.333 ) or ( x_2 <= 0.333 and x_2 <= 0.333 ) ) until[23,33] ( ( x_2 <= 0.533 or x_2 <= 0.532 ) or ( x_1 <= -0.333 and x_2 <= -0.363 ) ) )","( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0055 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 until[22,30] x_2 <= -0.0005 ) or ( x_2 <= -0.0555 until[22,30] x_2 <= -0.0005 ) ) ) or ( ( ( x_2 <= -0.1555 until[22,30] x_2 <= -0.0005 ) or ( x_2 <= -0.1555 until[22,30] x_2 <= -0.0555 ) ) or ( ( x_0 <= -0.1555 until[22,30] x_2 <= -0.0555 ) or ( x_2 <= -0.1555 until[22,30] x_2 <= -0.0555 ) ) ) )","( ( ( ( x_2 <= -0.0337 or x_2 <= -0.0397 ) or ( x_0 <= -0.0397 and x_2 <= -0.0397 ) ) or ( ( x_0 <= -0.0397 or x_0 <= -0.0397 ) until[11,29] ( x_0 <= -0.0397 or x_0 <= -0.0397 ) ) ) until[1,inf] ( ( ( x_0 <= -0.0397 or x_0 <= -0.0397 ) or ( x_0 <= -0.0397 and x_0 <= -0.0397 ) ) or ( ( x_0 <= -0.0397 and x_0 <= -0.0397 ) and ( x_0 <= -0.0397 and x_0 <= -0.0397 ) ) ) )","eventually[19,21] ( eventually[16,20] ( ( x_2 <= 0.5222 or x_2 <= 0.6925 ) ) )","( always ( x_2 <= 0.765 ) until[4,14] x_2 <= 0.7016 )"
345,"( ( ( ( x_2 >= -0.233 or x_0 >= -0.333 ) or ( x_0 >= -0.3632 or x_0 >= -0.3632 ) ) or ( ( x_1 >= -0.3332 and x_2 >= -0.3632 ) and ( x_1 >= -0.3632 or x_0 >= -0.3632 ) ) ) until[1,inf] ( ( ( x_1 >= -0.3632 or x_2 >= -0.2232 ) or ( x_1 >= -0.2632 or x_1 >= -0.3632 ) ) or ( ( x_1 >= -0.2632 or x_0 >= -0.3632 ) or ( x_1 >= -0.2632 or x_1 >= -0.2632 ) ) ) )","( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) or ( x_0 <= -0.0005 or x_2 <= -0.0005 ) ) ) until[15,25] ( ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.0005 or x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.2005 or x_2 <= -0.0005 ) or ( x_0 <= -0.2005 or x_2 <= -0.0505 ) ) ) )","( ( ( ( x_2 >= -0.0367 or x_2 >= -0.0367 ) or ( x_2 >= -0.0367 or x_0 <= -0.0397 ) ) or ( ( x_0 <= -0.0397 or x_0 <= -0.0397 ) or ( x_0 >= -0.0397 and x_2 >= -0.0367 ) ) ) until[10,22] ( ( ( x_0 <= -0.0397 or x_2 <= -0.0397 ) or ( x_0 <= -0.0397 or x_2 >= -0.0397 ) ) or ( ( x_0 <= -0.0397 or x_2 >= -0.0397 ) or ( x_0 >= -0.039 and x_0 >= -0.009 ) ) ) )","( ( x_2 <= -0.2929 or x_2 <= -0.2929 ) or ( x_0 <= -0.2929 until[19,21] x_1 <= -0.2929 ) )","( ( x_2 <= -0.97 or eventually[1,inf] ( ( not ( ( ( x_2 >= -0.7915 and ( ( not ( ( x_0 >= 0.1559 or ( not ( x_0 <= -0.1192 ) and x_2 >= 1.0848 ) ) ) and x_2 >= -0.9259 ) or x_2 >= 1.3104 ) ) or x_1 >= 0.4928 ) ) until[17,inf] eventually[6,11] ( x_0 >= -0.7178 ) ) ) ) until[1,11] ( eventually[4,12] ( ( ( ( not ( ( x_1 >= 2.5172 until[6,19] always[2,17] ( x_1 >= 1.6879 ) ) ) or ( x_0 >= 0.8247 until[19,21] ( ( x_0 >= -0.907 and x_2 >= -2.5967 ) until[9,12] x_0 >= -0.9749 ) ) ) or x_1 <= 0.0297 ) or ( not ( not ( x_1 <= -0.1584 ) ) or x_0 >= -0.305 ) ) ) or x_1 >= 1.2469 ) )"
346,"( ( ( x_2 >= -0.333 or x_2 >= 0.2332 ) and ( x_0 >= -0.3332 or x_0 >= -0.3632 ) ) until[23,33] ( ( x_2 >= -0.3332 or x_1 >= -0.3332 ) or ( x_2 >= -0.3632 or x_0 >= -0.3632 ) ) )","( ( ( ( x_2 >= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.1005 until[21,30] x_2 <= -0.0005 ) ) ) until[10,22] ( ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_0 >= -0.0555 or x_2 >= -0.0505 ) ) or ( ( x_0 >= -0.1505 or x_2 >= -0.0505 ) or ( x_0 >= -0.1555 or x_2 >= -0.0505 ) ) ) )","( ( ( ( x_2 >= -0.0361 or x_2 >= -0.0097 ) or ( x_0 >= -0.0097 or x_2 >= -0.0097 ) ) or ( ( x_0 >= -0.0097 or x_0 >= -0.0397 ) until[10,25] ( x_0 >= -0.0397 or x_2 >= -0.0097 ) ) ) until[10,22] ( ( ( x_0 >= -0.0097 or x_2 >= -0.0097 ) or ( x_0 >= -0.0097 or x_2 >= -0.0097 ) ) or ( ( x_0 >= -0.0997 and x_0 >= -0.0097 ) or ( x_0 >= -0.009 and x_0 >= -0.0097 ) ) ) )","( x_2 >= -0.029 until[19,21] ( x_0 >= -0.2223 or x_1 >= -0.2223 ) )","always[8,21] ( ( ( ( x_0 >= 0.351 or not ( ( always[18,20] ( x_0 >= -1.1059 ) until[11,18] not ( always[9,16] ( ( not ( x_0 >= 1.7909 ) and x_2 >= 0.75 ) ) ) ) ) ) and eventually[12,20] ( x_2 >= -0.2838 ) ) and x_0 >= -1.2128 ) )"
347,( ( ( x_2 >= 0.2332 or x_2 >= 0.2332 ) and ( x_2 >= -0.233 or x_2 >= -0.333 ) ) or ( ( x_2 >= -0.1632 and x_2 >= 0.3332 ) and ( x_1 >= -0.3332 and x_2 >= -0.1632 ) ) ),"( ( ( ( x_2 >= -0.1055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0055 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.1005 and x_2 <= -0.0005 ) and ( x_0 <= -0.1555 and x_2 <= -0.1505 ) ) ) until[1,10] ( ( ( x_2 >= -0.1505 or x_2 <= -0.0005 ) or ( x_2 <= -0.1555 or x_2 <= -0.1505 ) ) or ( ( x_0 >= -0.1555 or x_2 <= -0.1505 ) or ( x_0 <= -0.1555 or x_2 >= -0.1505 ) ) ) )",( ( ( x_2 >= -0.0031 or x_2 >= -0.0093 ) or ( x_2 >= -0.0097 and x_2 >= -0.0097 ) ) or ( ( x_2 >= -0.0097 and x_2 >= -0.0097 ) and ( x_0 >= -0.0097 and x_2 >= -0.0097 ) ) ),"( x_2 >= 0.0222 until[16,20] x_1 >= -1.0222 )","( x_2 >= -0.1661 and ( x_1 <= 0.2583 or always[6,inf] ( always[16,inf] ( x_2 >= 0.2961 ) ) ) )"
348,not ( ( ( x_2 <= 0.233 or x_2 <= -0.233 ) or ( x_2 <= -0.1332 or x_2 <= 0.0332 ) ) ),"( ( ( x_2 >= -0.1055 or x_2 >= -0.0055 ) or ( x_2 >= -0.0055 and x_2 >= -0.0005 ) ) until[1,20] ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.1555 or x_2 >= -0.1505 ) ) )",not ( ( ( x_2 <= -0.0037 or x_2 <= -0.0097 ) or ( x_2 <= -0.0097 and x_2 <= -0.0097 ) ) ),"eventually[16,20] ( x_2 >= -0.0222 )","eventually[15,21] ( not ( x_2 <= -0.015 ) )"
349,not ( ( ( x_2 <= -0.733 or x_2 <= -0.833 ) and ( x_2 <= -0.836 or x_2 <= -0.866 ) ) ),"( ( ( x_2 >= -0.7155 or x_2 <= -0.9055 ) or ( x_2 >= -0.0055 and x_2 >= -0.0005 ) ) or ( ( x_2 >= -0.0005 until[10,22] x_2 >= -0.0005 ) until[10,22] ( x_2 >= -0.0555 or x_2 >= -0.0555 ) ) )",not ( ( ( x_2 <= -0.8693 or x_2 <= -0.9691 ) and ( x_2 <= -0.9697 and x_2 <= -0.9991 ) ) ),not ( x_2 <= -0.8225 ),not ( x_2 <= -0.8044 )
350,not ( ( ( x_2 <= 0.233 or x_2 <= 0.233 ) or ( x_2 <= 0.233 or x_2 <= 0.133 ) ) ),"not ( ( ( ( x_2 <= -0.1555 and x_2 <= -0.0055 ) or ( x_2 <= -0.0055 and x_2 <= -0.1005 ) ) or ( ( x_2 <= -0.1525 or x_2 <= -0.1505 ) or ( x_2 <= -0.1525 until[12,20] x_2 <= -0.1505 ) ) ) )",not ( not ( not ( x_2 <= 0.1891 ) ) ),"eventually[1,13] ( x_2 >= 0.1223 )","always[8,16] ( x_2 >= 0.1454 )"
351,not ( ( ( x_2 <= 0.5332 or x_2 <= 0.5332 ) or ( x_2 <= 0.5332 or x_2 <= 0.533 ) ) ),"( ( ( x_2 >= -0.1055 or x_2 >= -0.0055 ) or ( x_2 >= -0.0055 or x_2 >= -0.0005 ) ) until[1,10] ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.1555 or x_2 >= -0.0555 ) ) )",not ( not ( not ( x_2 <= 0.5999 ) ) ),"( x_2 >= 0.6223 until[1,13] x_2 >= 0.6223 )","( not ( ( x_0 <= -1.214 until[8,11] x_1 <= -1.5244 ) ) until[1,17] x_2 >= 0.6283 )"
352,not ( not ( not ( x_2 >= -0.223 ) ) ),not ( ( ( x_2 <= -0.2055 and x_2 <= -0.2055 ) or ( x_2 <= -0.1555 or x_2 <= -0.1525 ) ) ),not ( not ( not ( x_2 <= -0.1991 ) ) ),not ( x_2 <= -0.0223 ),"( x_2 >= -0.1165 or ( ( ( eventually ( not ( ( ( always[6,14] ( x_1 <= 0.1598 ) until[3,5] x_2 <= 0.2098 ) until[14,17] x_0 >= -0.2717 ) ) ) and always[13,18] ( eventually[12,21] ( always[19,21] ( always[18,20] ( ( ( x_1 >= 1.2831 and always[6,8] ( x_1 <= -0.5287 ) ) and x_0 <= 0.7595 ) ) ) ) ) ) or always[1,inf] ( not ( always[8,18] ( eventually[16,21] ( x_0 >= -0.7145 ) ) ) ) ) and ( x_1 >= 0.2953 until[14,16] ( eventually[13,inf] ( x_1 >= 2.1234 ) until[2,16] ( eventually ( ( always[17,20] ( x_2 <= -0.65 ) or eventually[18,inf] ( ( x_0 >= 0.6343 or x_0 >= 1.3572 ) ) ) ) until[5,12] not ( x_0 <= 1.0722 ) ) ) ) ) )"
353,( ( ( x_2 >= 0.5332 or x_2 >= 0.5332 ) and ( x_2 >= -0.5332 or x_2 >= 0.6332 ) ) and ( ( x_2 >= 0.7332 or x_2 >= -0.6332 ) or ( x_1 >= -0.6332 or x_2 >= -0.6362 ) ) ),"( ( ( x_2 >= -0.0055 or x_2 >= -0.0055 ) or ( x_2 >= -0.0055 or x_2 >= -0.0005 ) ) until[1,20] ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.1555 or x_2 >= -0.0555 ) ) )",( ( ( x_2 >= 0.5661 or x_2 >= -0.5691 ) or ( x_2 >= 0.6697 or x_2 >= -0.6697 ) ) and ( ( x_0 >= -0.6697 or x_2 >= -0.6697 ) or ( x_0 >= -0.6697 and x_2 >= -0.0697 ) ) ),"eventually[1,13] ( x_2 >= 0.7626 )","always[11,15] ( x_2 >= 0.7687 )"
354,( ( ( x_2 >= 0.3332 or x_2 >= 0.3332 ) and ( x_2 >= 0.3332 or x_2 >= 0.3332 ) ) and ( ( x_2 >= 0.3332 or x_1 >= -0.3632 ) or ( x_2 >= 0.3332 or x_2 >= 0.3632 ) ) ),"( ( ( ( x_2 >= -0.1055 or x_2 >= -0.0005 ) or ( x_2 >= -0.0055 and x_2 <= -0.0005 ) ) or ( ( x_2 >= -0.0005 and x_2 <= -0.0005 ) and ( x_0 <= -0.1555 or x_2 <= -0.0555 ) ) ) until[1,10] ( ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_0 <= -0.1555 or x_2 <= -0.0555 ) ) or ( ( x_0 >= -0.1555 or x_2 >= -0.0505 ) or ( x_0 >= -0.1555 or x_2 >= -0.1505 ) ) ) )",( ( ( x_2 >= 0.5031 or x_2 >= 0.5667 ) or ( x_2 >= 0.5697 or x_2 >= -0.5697 ) ) and ( ( x_0 >= -0.5697 or x_2 >= -0.0097 ) or ( x_0 >= -0.5697 and x_2 >= -0.0697 ) ) ),"( x_2 >= 0.4223 until[16,20] x_2 >= 0.4223 )","( x_0 >= -1.3432 until[9,20] x_2 >= 0.4684 )"
355,"( ( ( x_2 >= 0.333 or x_0 >= -0.533 ) or ( x_0 >= -0.533 and x_0 >= -0.563 ) ) until[15,23] ( ( x_2 >= 0.4332 or x_1 >= -0.432 ) or ( x_2 >= -0.3632 or x_1 >= -0.432 ) ) )","( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) ) until[15,25] ( ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.0005 or x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.2005 or x_2 <= -0.0005 ) or ( x_0 <= -0.2005 or x_2 <= -0.0505 ) ) ) )","( ( ( ( x_2 >= -0.0361 or x_2 >= -0.0367 ) or ( x_2 >= -0.0367 or x_2 >= -0.0367 ) ) or ( ( x_0 >= -0.0397 or x_0 >= -0.0397 ) or ( x_0 >= -0.0397 or x_2 >= -0.0397 ) ) ) or ( ( ( x_0 >= -0.0397 or x_0 >= -0.0397 ) or ( x_0 >= -0.0397 and x_0 >= -0.0397 ) ) until[10,22] ( ( x_0 >= -0.0397 or x_2 >= -0.0397 ) or ( x_0 >= -0.039 and x_2 >= -0.009 ) ) ) )",( x_2 >= 0.6299 or x_2 >= -0.6299 ),( x_2 >= 0.4809 or not ( x_2 >= -1.6783 ) )
