,Formula
18551,"( ( ( ( x_1 >= 1.062 or x_2 >= 1.1418 ) and not ( x_2 <= 0.3213 ) ) until[28,33] ( always[18,21] ( x_1 <= 2.2348 ) until not ( x_1 >= 0.0336 ) ) ) until eventually[9,inf] ( ( ( x_0 >= 0.1473 and x_1 <= 0.6376 ) and not ( x_0 <= -0.3329 ) ) ) )"
18552,"always[27,35] ( ( not ( ( x_2 <= 1.2132 until[28,34] x_3 >= -0.2437 ) ) and ( not ( x_0 >= -0.3723 ) until[14,inf] eventually[17,inf] ( x_0 >= -0.4836 ) ) ) )"
18553,"( ( ( eventually[31,33] ( x_1 >= 0.8263 ) and ( x_1 <= -0.2778 until[13,inf] x_0 <= 0.6772 ) ) or ( ( x_1 >= -0.0204 until[21,29] x_1 >= 2.5056 ) and eventually[24,31] ( x_0 >= -0.0103 ) ) ) until[11,17] ( eventually ( ( x_2 <= -1.0295 and x_3 >= -0.8358 ) ) or not ( eventually[1,25] ( x_1 >= 1.3502 ) ) ) )"
18554,"( ( ( always[28,31] ( x_2 >= -2.4449 ) and ( x_2 >= 0.1911 and x_3 <= 0.3013 ) ) or ( not ( x_2 >= 0.5239 ) and always[12,inf] ( x_0 <= -1.3146 ) ) ) until[8,19] not ( eventually[18,inf] ( ( x_0 >= -1.0735 and x_0 <= 0.1479 ) ) ) )"
18555,"eventually[34,36] ( ( not ( eventually[5,33] ( x_2 <= 0.6538 ) ) until[14,18] eventually[11,14] ( ( x_1 <= -0.0503 until x_2 >= 0.3879 ) ) ) )"
18556,"( always[9,30] ( always[29,inf] ( ( x_2 <= -0.1087 until[29,31] x_2 >= 2.0366 ) ) ) or always[2,12] ( eventually[20,inf] ( not ( x_2 >= 0.7407 ) ) ) )"
18557,"always[0,inf] ( ( ( not ( x_3 >= -0.0554 ) and not ( x_1 <= -0.1145 ) ) until[13,18] ( ( x_3 <= 0.1807 or x_3 >= -1.9152 ) or ( x_2 <= 1.3093 or x_1 >= 0.3507 ) ) ) )"
18558,"always[18,34] ( eventually ( eventually[18,35] ( eventually ( x_1 <= -0.6901 ) ) ) )"
18559,"always[20,25] ( ( eventually[31,inf] ( ( x_1 >= -0.2424 or x_0 <= 1.1037 ) ) and eventually[15,32] ( not ( x_1 <= -2.1932 ) ) ) )"
18560,"always[22,inf] ( always[6,11] ( ( ( x_2 >= 0.3246 and x_3 >= -0.341 ) or eventually[25,28] ( x_0 <= 1.3263 ) ) ) )"
18561,"always[9,33] ( ( always[34,36] ( not ( x_1 <= 1.5095 ) ) or ( ( x_1 >= -0.0909 until[14,17] x_0 <= -0.9307 ) or ( x_2 <= -0.5097 and x_0 >= -1.2594 ) ) ) )"
18562,"not ( always[13,22] ( always[12,inf] ( ( x_2 <= 0.4504 until[30,34] x_3 >= 0.9828 ) ) ) )"
18563,"eventually[5,27] ( ( ( always ( x_3 <= -1.4294 ) until ( x_0 <= -0.8255 and x_1 <= 0.3984 ) ) or not ( ( x_0 >= -0.1272 until[2,27] x_2 <= 0.6407 ) ) ) )"
18564,"( ( eventually[23,28] ( ( x_0 <= 0.3193 and x_2 >= 1.3806 ) ) and always[28,36] ( ( x_1 >= 2.3036 until x_3 >= 1.373 ) ) ) or not ( ( always[4,22] ( x_2 >= -1.0172 ) or ( x_0 >= -0.642 or x_0 <= -0.3939 ) ) ) )"
18565,"( ( ( always[31,36] ( x_1 <= 0.3024 ) and eventually[10,26] ( x_0 <= -0.6298 ) ) or eventually[5,inf] ( not ( x_0 <= 0.9911 ) ) ) until[30,inf] not ( ( always[6,29] ( x_1 <= 1.049 ) or eventually ( x_0 <= 0.0389 ) ) ) )"
18566,"eventually[3,33] ( ( ( always[26,inf] ( x_3 >= -0.9966 ) and ( x_2 <= -0.1015 until[5,11] x_0 <= -1.5068 ) ) or ( ( x_2 <= 1.0553 until[11,20] x_2 >= 1.8676 ) or always[12,36] ( x_0 >= 0.9096 ) ) ) )"
18567,"always ( ( eventually[11,35] ( ( x_2 >= 0.2277 or x_0 >= -1.5777 ) ) and always[13,16] ( ( x_1 >= 0.3616 or x_1 >= -0.4826 ) ) ) )"
18568,"eventually[5,29] ( ( ( ( x_2 >= -0.9182 and x_2 <= 1.0369 ) and ( x_0 <= -1.2111 and x_1 >= 0.3059 ) ) until[17,34] always[10,inf] ( ( x_3 >= -1.8844 or x_0 <= -0.7655 ) ) ) )"
18569,"( ( always[16,32] ( ( x_1 >= -0.4309 until[34,36] x_3 >= 0.6662 ) ) or always[17,inf] ( eventually[29,inf] ( x_3 >= 0.3694 ) ) ) and ( ( ( x_0 >= -1.4347 or x_2 >= -1.3158 ) or not ( x_3 <= -1.2771 ) ) or not ( always[22,32] ( x_3 >= 0.077 ) ) ) )"
18570,"always[32,35] ( ( always[24,28] ( always ( x_1 >= -0.2935 ) ) and eventually[22,35] ( ( x_3 >= -0.9466 and x_0 >= 0.1329 ) ) ) )"
18571,"not ( ( ( eventually[1,inf] ( x_1 <= -1.66 ) or eventually[5,inf] ( x_1 >= -0.3015 ) ) until[3,11] ( always[0,2] ( x_0 <= 0.0178 ) or not ( x_3 >= -0.3609 ) ) ) )"
18572,"( always[3,inf] ( ( ( x_3 <= -0.7459 and x_2 <= 0.7719 ) or ( x_3 <= 1.2053 until x_3 >= -0.8291 ) ) ) or eventually[17,35] ( ( ( x_3 <= 0.8847 or x_2 <= 0.8538 ) or ( x_1 <= -0.3549 or x_1 >= 0.2804 ) ) ) )"
18573,"( ( always[17,inf] ( not ( x_3 >= -0.7367 ) ) and always[13,28] ( ( x_2 >= -2.0088 and x_1 >= -0.0986 ) ) ) until[7,12] ( not ( always[5,inf] ( x_1 <= -1.3247 ) ) or ( always[13,16] ( x_1 <= -1.8071 ) and not ( x_1 >= -1.3534 ) ) ) )"
18574,"( eventually[31,34] ( ( eventually[12,inf] ( x_3 <= 0.7298 ) or ( x_1 >= -1.1866 and x_2 >= 1.0576 ) ) ) or eventually[3,27] ( ( ( x_0 <= -0.8923 or x_0 <= -0.0596 ) or always[7,10] ( x_0 <= 0.4757 ) ) ) )"
18575,"( not ( not ( ( x_0 <= 0.2755 or x_2 <= -1.4364 ) ) ) until[27,29] ( ( ( x_2 <= -1.5712 or x_2 >= 0.0763 ) until[2,9] not ( x_3 <= -0.3873 ) ) or eventually ( eventually[0,35] ( x_3 <= 1.0981 ) ) ) )"
18576,"( always[26,35] ( ( ( x_1 >= -0.8999 and x_3 >= 1.0784 ) or always ( x_0 >= 0.2591 ) ) ) or eventually[26,inf] ( not ( eventually[1,inf] ( x_1 >= -1.2879 ) ) ) )"
18577,"not ( ( not ( ( x_2 >= -1.4579 until[34,36] x_2 >= -1.6697 ) ) until eventually[14,17] ( ( x_2 >= 0.6973 until[15,18] x_0 <= 1.4667 ) ) ) )"
18578,"always[27,inf] ( ( not ( eventually[8,inf] ( x_3 <= -2.4452 ) ) until not ( eventually[3,13] ( x_2 <= -0.6828 ) ) ) )"
18579,"( eventually[17,25] ( not ( not ( x_2 <= 0.0582 ) ) ) or always[20,26] ( not ( always ( x_3 <= -1.5619 ) ) ) )"
18580,"( eventually[4,inf] ( ( eventually[20,27] ( x_0 <= -0.0926 ) or not ( x_3 <= 0.1758 ) ) ) until not ( ( ( x_0 <= 0.8232 or x_0 <= -0.2846 ) and ( x_0 <= 0.3896 and x_1 <= -2.3325 ) ) ) )"
18581,"( ( ( always ( x_2 <= 0.3546 ) and eventually ( x_3 <= 0.7917 ) ) or always[7,31] ( ( x_2 >= 0.1512 until[1,21] x_2 >= -1.2804 ) ) ) or ( ( always[34,36] ( x_2 <= -0.0179 ) and always[2,5] ( x_0 <= -2.6077 ) ) or ( eventually[11,18] ( x_0 <= -3.143 ) and ( x_3 >= -0.2934 or x_3 >= -0.3276 ) ) ) )"
18582,"always[7,19] ( ( ( ( x_2 >= -1.8946 or x_1 >= 0.4749 ) or ( x_1 <= -0.9346 and x_1 <= 1.5372 ) ) and ( ( x_1 <= 1.5034 until[22,35] x_1 >= 0.5793 ) or ( x_3 <= 0.6727 and x_3 <= -1.1612 ) ) ) )"
18583,"eventually[34,36] ( not ( ( ( x_2 <= -1.3822 or x_0 >= 1.9157 ) and ( x_2 >= 0.0168 and x_1 >= 0.3427 ) ) ) )"
18584,"eventually ( ( not ( not ( x_0 >= 0.8309 ) ) and always[29,36] ( not ( x_3 <= -0.0215 ) ) ) )"
18585,"( eventually[19,34] ( always[17,32] ( ( x_1 <= 0.1416 or x_0 <= -0.9724 ) ) ) and ( eventually[33,inf] ( always[13,inf] ( x_2 <= -0.3121 ) ) and eventually ( ( x_1 >= -0.8637 or x_2 >= 0.9778 ) ) ) )"
18586,"not ( not ( ( ( x_0 <= -0.8495 or x_0 <= 1.9513 ) or ( x_1 <= 1.2843 until[1,12] x_0 >= 2.2864 ) ) ) )"
18587,"eventually ( ( ( ( x_0 >= -0.2888 until[11,34] x_0 <= -0.4254 ) or ( x_1 >= 0.9273 or x_0 <= 1.0915 ) ) or ( not ( x_1 >= -0.2145 ) until[26,34] eventually[16,24] ( x_3 <= -0.8468 ) ) ) )"
18588,"not ( ( ( eventually ( x_2 <= 0.4894 ) until[13,29] not ( x_2 >= -0.6176 ) ) or ( not ( x_1 >= -1.1886 ) or not ( x_2 >= 0.6591 ) ) ) )"
18589,"not ( always[18,35] ( ( ( x_1 <= 0.083 or x_3 <= -2.2209 ) until[14,29] always[3,inf] ( x_0 <= -0.4265 ) ) ) )"
18590,"eventually ( not ( ( ( x_1 <= -0.0716 and x_1 >= -0.1792 ) until eventually[27,35] ( x_0 <= 1.2675 ) ) ) )"
18591,"not ( ( eventually[32,34] ( ( x_3 <= -1.2272 and x_1 <= 1.8626 ) ) and ( ( x_0 >= -0.7678 and x_2 <= -0.2417 ) and always[6,inf] ( x_1 >= 0.6908 ) ) ) )"
18592,"always[1,24] ( not ( not ( ( x_3 <= 0.2965 or x_1 >= -0.1106 ) ) ) )"
18593,"eventually[20,26] ( eventually[15,33] ( always[13,inf] ( not ( x_3 <= -0.565 ) ) ) )"
18594,"not ( always[0,34] ( ( eventually ( x_1 <= -0.0923 ) until[23,33] always[4,8] ( x_0 >= 0.1735 ) ) ) )"
18595,"eventually[15,27] ( not ( always[2,inf] ( not ( x_0 >= 1.4921 ) ) ) )"
18596,"always[14,inf] ( eventually[9,17] ( not ( eventually[27,inf] ( x_3 <= -0.7934 ) ) ) )"
18597,"( not ( eventually[12,30] ( not ( x_3 <= -0.5858 ) ) ) and always[22,29] ( always[2,8] ( ( x_3 <= -0.813 and x_2 >= 0.8711 ) ) ) )"
18598,"eventually[3,8] ( always[31,35] ( ( eventually[11,18] ( x_1 >= 2.4975 ) and ( x_3 >= 0.3515 and x_2 <= 2.2389 ) ) ) )"
18599,"always[7,24] ( ( ( eventually ( x_1 <= -2.1338 ) until[3,14] ( x_3 <= 0.348 and x_0 >= -2.2739 ) ) or eventually[16,inf] ( ( x_1 <= -0.0931 or x_2 <= 0.0414 ) ) ) )"
18600,"eventually[8,inf] ( ( ( eventually[9,16] ( x_2 <= -1.8258 ) or eventually[13,28] ( x_1 <= -0.3646 ) ) until[25,inf] always ( ( x_1 >= -0.7085 or x_0 >= 0.8129 ) ) ) )"
18601,"( eventually ( ( ( x_0 >= 0.8388 and x_0 <= -0.5364 ) or always[8,23] ( x_2 <= -0.1054 ) ) ) and not ( ( eventually[24,34] ( x_0 >= -0.8525 ) and always[1,11] ( x_2 >= -0.3328 ) ) ) )"
18602,"( always[17,31] ( not ( ( x_0 >= -0.1582 and x_1 >= -0.4631 ) ) ) and ( eventually[23,28] ( ( x_2 >= -1.7707 or x_3 >= -1.8301 ) ) and eventually[15,34] ( always[6,inf] ( x_3 >= -1.151 ) ) ) )"
18603,"( ( eventually[17,22] ( ( x_0 >= 0.3622 until[27,36] x_2 <= 0.5523 ) ) or ( always[4,35] ( x_3 <= -1.3013 ) or not ( x_2 <= 1.0548 ) ) ) or ( ( ( x_2 <= 0.9086 and x_3 <= -0.4081 ) or ( x_2 >= -0.3965 and x_0 <= -1.0337 ) ) and not ( always[6,27] ( x_1 <= -0.6989 ) ) ) )"
18604,"( eventually[12,18] ( not ( ( x_2 <= 0.5839 or x_0 <= -0.2827 ) ) ) until[1,inf] eventually[2,20] ( always[13,20] ( always[17,inf] ( x_2 <= -0.3737 ) ) ) )"
18605,"eventually ( always[33,35] ( not ( ( x_0 >= -0.9712 until x_1 <= 0.4403 ) ) ) )"
18606,"eventually[17,30] ( not ( always[28,30] ( ( x_0 <= 0.0731 until x_1 >= -1.0266 ) ) ) )"
18607,"( always[12,19] ( not ( ( x_1 <= 2.9239 and x_1 >= 0.8171 ) ) ) and ( eventually[16,21] ( ( x_3 <= -0.3364 until[7,inf] x_2 <= 1.2713 ) ) or eventually[19,31] ( eventually ( x_1 <= -0.5539 ) ) ) )"
18608,"eventually[4,32] ( not ( always[21,inf] ( not ( x_3 >= -1.9678 ) ) ) )"
18609,"always[7,inf] ( ( not ( ( x_2 <= 0.3913 and x_2 <= -0.1031 ) ) or ( ( x_2 >= 0.6514 and x_2 <= 0.0941 ) and not ( x_1 <= -0.8838 ) ) ) )"
18610,"not ( ( ( ( x_3 <= 0.7912 and x_1 >= 1.0632 ) and ( x_0 <= 1.2396 and x_2 <= -1.3685 ) ) or ( ( x_3 <= 1.3643 and x_2 <= 0.4421 ) and eventually[17,22] ( x_1 >= 1.0775 ) ) ) )"
18611,"( ( not ( not ( x_3 <= 0.4652 ) ) or ( ( x_2 <= 0.106 and x_3 >= -0.0639 ) or ( x_1 >= 0.2554 or x_3 <= -2.5308 ) ) ) until[22,25] ( not ( not ( x_3 >= 0.6528 ) ) or not ( ( x_0 <= 0.6888 and x_3 <= -0.0101 ) ) ) )"
18612,"eventually[29,36] ( ( not ( always[28,31] ( x_2 >= 1.1136 ) ) or eventually[8,inf] ( ( x_2 <= 0.5552 and x_1 <= 1.2944 ) ) ) )"
18613,not ( ( ( ( x_1 >= 0.0644 or x_3 <= 0.8024 ) until ( x_1 <= -1.1621 or x_0 <= -1.4949 ) ) and not ( ( x_1 <= -0.2104 or x_0 <= -1.8439 ) ) ) )
18614,"( not ( not ( always[7,9] ( x_0 >= 0.3684 ) ) ) until[31,33] ( eventually[24,inf] ( ( x_0 <= 1.6812 and x_1 <= -0.0097 ) ) or ( ( x_1 <= -0.4483 and x_0 <= 1.9594 ) until[33,36] ( x_3 >= -0.7392 or x_1 <= 2.2107 ) ) ) )"
18615,"( ( always[22,inf] ( ( x_0 <= 1.2048 until[6,inf] x_1 <= 0.4908 ) ) and ( eventually ( x_3 <= -0.0795 ) or ( x_2 >= -0.2988 until[17,24] x_3 >= 0.7209 ) ) ) and always[8,inf] ( ( not ( x_0 >= 0.9279 ) and ( x_3 >= 0.4298 until[32,36] x_3 <= 1.4637 ) ) ) )"
18616,"( not ( not ( ( x_2 >= 0.664 and x_2 <= 1.7766 ) ) ) or eventually[33,35] ( ( ( x_1 >= 0.9556 and x_3 <= -1.2137 ) until[26,inf] ( x_3 <= -2.0167 or x_1 >= 0.7612 ) ) ) )"
18617,"eventually[3,inf] ( ( always ( ( x_2 <= -0.432 or x_1 <= 0.5653 ) ) or eventually[8,23] ( ( x_3 >= 0.7595 until[3,24] x_1 >= 0.4137 ) ) ) )"
18618,"not ( ( always[14,33] ( ( x_1 >= 0.7198 and x_3 <= 0.2949 ) ) or ( ( x_1 <= -0.1032 and x_1 >= -0.0787 ) until ( x_1 >= -0.2424 and x_2 >= -0.0452 ) ) ) )"
18619,"( ( not ( ( x_3 <= -2.4364 and x_2 >= 0.7669 ) ) and ( always[9,27] ( x_2 <= -0.3664 ) until always[18,25] ( x_3 <= 1.4718 ) ) ) or ( always[19,30] ( ( x_0 <= -0.732 and x_3 >= 0.682 ) ) until[18,22] not ( ( x_3 >= -0.9638 and x_3 >= 0.4352 ) ) ) )"
18620,"( always[14,23] ( ( always ( x_2 >= 0.3996 ) until[29,34] not ( x_2 >= 0.3551 ) ) ) or not ( eventually[0,17] ( ( x_3 <= -0.5775 or x_0 >= 0.7509 ) ) ) )"
18621,"( ( ( ( x_0 >= -0.8684 and x_3 <= 1.2475 ) or always[11,14] ( x_3 <= -1.5996 ) ) and ( ( x_0 >= -0.559 or x_0 <= 0.7615 ) until[1,22] ( x_1 <= 0.815 until[22,26] x_0 <= -0.302 ) ) ) and not ( eventually[29,33] ( ( x_0 >= -0.5582 until[3,8] x_3 >= -1.2554 ) ) ) )"
18622,"( not ( eventually[16,31] ( ( x_1 <= -1.4853 until[18,inf] x_0 >= -0.1186 ) ) ) and ( ( not ( x_0 <= -0.5742 ) and eventually[28,32] ( x_0 >= -0.6941 ) ) until[25,32] not ( ( x_3 <= -0.5737 or x_3 >= -0.3467 ) ) ) )"
18623,"( not ( always ( eventually[13,29] ( x_0 >= 0.3785 ) ) ) until eventually ( eventually[32,35] ( ( x_0 >= 0.5777 until[4,35] x_2 >= 0.4136 ) ) ) )"
18624,"always[28,32] ( always[33,35] ( eventually[19,26] ( not ( x_3 <= 0.2115 ) ) ) )"
18625,"not ( eventually ( not ( always[34,36] ( x_2 >= -0.3569 ) ) ) )"
18626,"not ( ( always[26,35] ( eventually[10,15] ( x_2 <= -0.343 ) ) or ( eventually[20,31] ( x_2 <= -1.6269 ) or eventually[13,32] ( x_3 <= 1.581 ) ) ) )"
18627,"( eventually[29,32] ( always[10,28] ( always[34,36] ( x_1 >= 0.9406 ) ) ) or ( always ( ( x_0 >= -0.5709 or x_2 >= 0.6697 ) ) until[24,36] not ( ( x_2 <= -1.3202 or x_1 <= 1.2252 ) ) ) )"
18628,not ( not ( ( not ( x_3 <= 0.8818 ) and ( x_1 <= 3.0652 or x_1 <= 1.5278 ) ) ) )
18629,"( ( eventually[17,36] ( eventually[2,4] ( x_0 <= 0.3352 ) ) until[5,36] not ( ( x_2 <= 0.072 and x_1 <= -0.5854 ) ) ) and eventually[8,inf] ( ( ( x_3 <= 0.4731 until[28,32] x_0 >= -0.9971 ) until eventually[0,11] ( x_2 >= -0.2872 ) ) ) )"
18630,"( not ( ( ( x_2 >= -0.5387 until[7,31] x_0 >= -1.6649 ) and ( x_2 >= -2.4364 or x_2 <= -1.1071 ) ) ) until[10,24] ( ( eventually[15,inf] ( x_0 >= -0.6691 ) until[12,inf] not ( x_1 <= 0.5474 ) ) and always[11,36] ( ( x_3 <= 0.0777 or x_1 >= 0.4153 ) ) ) )"
18631,"( ( not ( not ( x_1 >= 0.152 ) ) or not ( eventually[26,34] ( x_0 <= 0.6812 ) ) ) or always[6,21] ( not ( eventually[4,19] ( x_3 >= 1.4924 ) ) ) )"
18632,"( ( always[21,36] ( ( x_3 >= 0.5956 until x_1 >= 0.9136 ) ) until[8,35] not ( ( x_0 <= -2.3984 or x_0 <= 0.121 ) ) ) and ( always ( always[28,33] ( x_3 >= -1.6308 ) ) until[18,24] ( eventually[13,inf] ( x_3 >= 0.247 ) or eventually[9,27] ( x_2 >= -0.3809 ) ) ) )"
18633,"always[23,26] ( not ( ( always[4,10] ( x_2 >= 1.7376 ) and not ( x_3 <= -0.9859 ) ) ) )"
18634,"not ( ( not ( eventually[32,inf] ( x_2 >= -1.2414 ) ) until[8,28] not ( ( x_3 <= 1.2569 until[10,36] x_0 >= -0.5556 ) ) ) )"
18635,"eventually[8,30] ( ( ( eventually[16,29] ( x_3 <= -1.766 ) and not ( x_0 <= 1.5585 ) ) and always[7,12] ( ( x_1 >= 1.3188 until[1,inf] x_2 >= 0.2004 ) ) ) )"
18636,"( not ( not ( ( x_1 <= -0.3451 or x_0 >= -1.0245 ) ) ) until[2,19] eventually[16,20] ( always[26,31] ( eventually[4,inf] ( x_1 <= -0.817 ) ) ) )"
18637,"( ( ( ( x_1 >= 0.9077 and x_3 >= -0.602 ) or ( x_0 >= 0.9433 until[1,32] x_0 <= 0.8901 ) ) until[14,33] not ( always[27,29] ( x_1 <= 1.501 ) ) ) or not ( ( eventually[34,36] ( x_0 >= 0.27 ) or not ( x_1 >= -0.5794 ) ) ) )"
18638,"always[31,inf] ( ( ( ( x_3 <= -0.3762 until[3,18] x_2 >= -0.8334 ) or ( x_3 <= 0.0157 and x_0 >= 1.5038 ) ) and not ( eventually ( x_2 <= 0.6138 ) ) ) )"
18639,"( eventually[11,26] ( always[12,19] ( not ( x_1 >= -0.259 ) ) ) and eventually[9,29] ( ( ( x_0 <= 0.663 or x_3 <= 0.2799 ) until[0,22] eventually[5,36] ( x_3 >= -0.3049 ) ) ) )"
18640,"not ( eventually[20,inf] ( always[29,34] ( ( x_1 <= -0.5086 until[21,29] x_3 <= 0.5007 ) ) ) )"
18641,"( ( not ( eventually[30,36] ( x_2 <= -0.7426 ) ) and ( ( x_2 >= 1.2441 or x_1 <= -1.7577 ) or ( x_2 <= -0.0122 until[2,14] x_0 <= -1.9119 ) ) ) and ( always[34,36] ( always[25,33] ( x_3 <= 0.25 ) ) and ( always[16,22] ( x_2 <= 0.9094 ) and ( x_3 <= -1.0162 or x_3 <= -0.0757 ) ) ) )"
18642,"( ( not ( eventually[12,27] ( x_1 <= -0.5951 ) ) or not ( not ( x_1 >= 0.3457 ) ) ) until[22,25] ( ( ( x_0 >= 0.4192 and x_0 >= -0.1021 ) or ( x_0 <= -0.6632 or x_3 <= -0.0657 ) ) and ( ( x_3 >= 0.5736 until[7,18] x_0 <= 1.0589 ) and eventually[2,28] ( x_0 <= -0.1401 ) ) ) )"
18643,"( eventually[11,19] ( eventually[8,inf] ( not ( x_1 >= 0.6519 ) ) ) or ( not ( not ( x_2 <= -0.0357 ) ) and ( not ( x_3 >= 0.3424 ) and ( x_0 >= 0.3099 and x_2 <= 1.2494 ) ) ) )"
18644,"not ( not ( always[1,13] ( ( x_3 >= 0.9498 until[5,34] x_2 >= -1.5838 ) ) ) )"
18645,"not ( ( ( not ( x_2 >= 2.6613 ) until[10,inf] eventually[0,30] ( x_3 >= 0.1949 ) ) until[9,34] ( eventually[6,21] ( x_3 <= -1.1072 ) and eventually[7,21] ( x_1 >= -1.0544 ) ) ) )"
18646,"( not ( ( eventually[4,8] ( x_2 <= -1.9085 ) and ( x_0 <= 0.2027 or x_0 <= 0.9567 ) ) ) until[3,12] ( not ( not ( x_2 >= -1.1743 ) ) until[15,34] ( ( x_0 <= -1.0292 and x_3 >= 0.4794 ) or not ( x_3 >= -0.6063 ) ) ) )"
18647,"( ( always[26,35] ( not ( x_3 <= 1.2892 ) ) or not ( not ( x_0 <= 1.5268 ) ) ) until[11,26] eventually[15,22] ( ( ( x_3 <= -0.1333 and x_3 <= -0.4404 ) and not ( x_3 <= -0.2247 ) ) ) )"
18648,"always[14,32] ( ( ( eventually[12,22] ( x_1 <= 0.1349 ) and eventually[30,32] ( x_0 <= -2.3397 ) ) until[30,33] always ( not ( x_2 <= -1.8712 ) ) ) )"
18649,"( ( ( not ( x_3 <= -2.0592 ) and not ( x_2 <= 0.6087 ) ) and ( eventually[5,26] ( x_3 >= 0.6397 ) and not ( x_1 >= -0.8965 ) ) ) until ( ( always[15,inf] ( x_0 <= 0.971 ) and eventually[22,inf] ( x_0 >= 0.5846 ) ) or ( ( x_1 <= 0.2354 until[21,inf] x_1 <= 0.6117 ) or ( x_1 <= -0.6129 or x_2 >= -0.4903 ) ) ) )"
18650,"eventually[28,36] ( ( always[27,29] ( ( x_3 >= 0.2061 and x_3 >= 0.7933 ) ) and ( ( x_1 >= 1.4486 or x_2 >= 0.1451 ) or ( x_0 <= -1.0814 and x_0 <= -2.5647 ) ) ) )"
18651,"not ( always ( not ( always[8,15] ( x_2 <= 0.2973 ) ) ) )"
18652,"( always[16,28] ( not ( ( x_0 >= -1.558 and x_2 >= 0.1069 ) ) ) until[5,21] ( ( not ( x_2 <= -0.2876 ) and eventually[6,24] ( x_3 >= 0.2111 ) ) and ( ( x_3 >= -0.0881 until[17,23] x_1 <= 0.6141 ) or ( x_3 >= -1.5244 or x_2 <= -0.936 ) ) ) )"
18653,"eventually[29,33] ( ( ( ( x_0 >= 0.1336 and x_2 >= 1.9568 ) and ( x_1 >= -0.9883 until x_3 <= 2.6015 ) ) or ( not ( x_2 <= 0.4914 ) until[15,26] ( x_0 >= 1.2479 until[20,33] x_3 >= 1.1702 ) ) ) )"
18654,"( always[17,inf] ( not ( not ( x_2 <= -0.9692 ) ) ) until ( ( ( x_1 <= 0.9304 or x_2 <= -0.0124 ) or not ( x_3 >= -0.5501 ) ) or ( not ( x_3 >= 0.2176 ) and eventually[34,36] ( x_3 >= -0.3483 ) ) ) )"
18655,"always[20,30] ( ( ( ( x_0 >= -2.0071 until[12,18] x_1 <= -1.0819 ) or always[25,27] ( x_1 >= 0.6876 ) ) and eventually[12,29] ( ( x_1 >= -1.124 or x_0 <= -0.6331 ) ) ) )"
18656,"( not ( eventually[7,inf] ( not ( x_3 <= 0.1043 ) ) ) or ( ( eventually[1,35] ( x_1 >= -1.111 ) until[19,28] not ( x_2 <= -0.3172 ) ) and ( not ( x_1 >= 0.3155 ) until[2,23] ( x_3 <= 0.1373 until[3,23] x_2 >= 1.388 ) ) ) )"
18657,"( ( always[21,inf] ( ( x_3 >= -1.4338 or x_2 <= 0.991 ) ) until[9,16] ( ( x_1 >= -0.0287 and x_2 <= 0.2365 ) or ( x_2 <= -0.953 until[5,27] x_2 <= 1.5759 ) ) ) or always[26,inf] ( not ( eventually[32,36] ( x_2 >= -0.049 ) ) ) )"
18658,"( ( ( eventually[26,29] ( x_0 <= 1.1507 ) or eventually[0,inf] ( x_0 <= -0.7829 ) ) and ( ( x_2 >= -0.0119 and x_3 <= 1.4175 ) and ( x_1 >= -1.0802 until[10,23] x_3 <= -2.229 ) ) ) and not ( ( ( x_2 >= -0.5628 until[9,26] x_1 <= -0.7626 ) or eventually[7,inf] ( x_0 <= 0.5308 ) ) ) )"
18659,"always[24,26] ( ( ( ( x_0 >= -0.2521 and x_3 >= 0.541 ) or always ( x_0 <= -0.8329 ) ) and eventually[15,inf] ( ( x_0 <= 0.1145 or x_2 >= -1.1428 ) ) ) )"
18660,"( ( not ( ( x_1 <= 1.7703 until[18,33] x_1 >= -1.0619 ) ) until[31,35] ( ( x_2 >= 2.9493 or x_1 >= 0.7954 ) and ( x_1 <= 0.5401 or x_2 >= 1.7553 ) ) ) and eventually[0,29] ( eventually[13,29] ( always ( x_0 <= -1.4226 ) ) ) )"
18661,"( ( ( ( x_2 <= 0.5481 and x_2 >= 0.3032 ) until[10,31] ( x_2 <= -1.2562 or x_1 >= 0.3984 ) ) or always[17,32] ( not ( x_1 >= 0.1717 ) ) ) until[3,inf] eventually[8,32] ( ( ( x_3 <= -0.7706 or x_1 <= 0.2002 ) and ( x_3 >= 0.0042 and x_0 <= 1.999 ) ) ) )"
18662,"( not ( ( ( x_0 <= -1.0935 until[3,13] x_0 <= -0.7007 ) until[16,20] eventually[32,35] ( x_0 >= -1.6209 ) ) ) until[23,35] not ( always ( ( x_3 >= 0.4177 and x_2 <= -0.9309 ) ) ) )"
18663,"always[29,33] ( ( always[6,33] ( not ( x_1 <= -1.6611 ) ) and eventually[17,20] ( ( x_3 >= -0.9981 until[12,30] x_2 >= -0.6582 ) ) ) )"
18664,"( not ( eventually[10,19] ( eventually[12,18] ( x_3 >= -2.1379 ) ) ) or ( not ( not ( x_1 >= 1.1305 ) ) or ( ( x_1 <= 0.5947 until[22,inf] x_3 <= -0.1929 ) until[3,inf] always[18,31] ( x_1 >= -0.3608 ) ) ) )"
18665,"( not ( ( ( x_1 <= -2.0052 or x_3 <= -0.5457 ) and not ( x_0 <= -0.0226 ) ) ) until[18,inf] always ( always[30,34] ( always[16,35] ( x_3 <= 1.4607 ) ) ) )"
